,q_day
1988/4/13,278.0
1988/4/29,255.0
1988/5/15,250.0
1988/11/7,589.0
1989/4/16,268.0
1989/5/2,415.0
1989/5/18,638.0
1989/6/3,1000.0
1989/8/22,1580.0
1989/10/25,770.0
1989/11/10,558.0
1990/4/19,252.0
1990/6/22,808.0
1990/7/8,571.0
1990/10/12,677.0
1991/4/6,161.0
1991/6/25,605.0
1991/9/13,689.0
1991/9/29,651.0
1991/10/31,439.0
1992/5/10,324.0
1992/5/26,431.0
1992/7/29,887.0
1992/8/14,623.0
1992/10/1,1050.0
1992/11/18,227.0
1993/4/27,519.0
1993/6/14,629.0
1993/9/2,1300.0
1993/10/4,711.0
1993/11/21,281.0
1993/12/7,201.0
1994/4/30,547.0
1994/7/3,1250.0
1994/7/19,555.0
1994/8/4,393.0
1994/9/5,351.0
1994/10/23,393.0
1995/4/17,310.0
1995/8/7,580.0
1995/9/24,782.0
1995/11/27,208.0
1996/4/3,156.0
1996/4/19,216.0
1997/8/12,313.0
1997/11/16,174.0
