,q_day
1988/1/17,414
1988/2/2,302
1988/3/5,409
1988/10/31,738
1988/12/2,806
1989/1/19,630
1989/2/4,516
1989/10/2,1300
1989/11/19,862
1990/1/6,669
1990/1/22,519
1990/2/7,651
1990/5/30,1780
1990/8/18,1180
1991/2/10,594
1991/5/17,1170
1991/6/18,1380
1991/7/4,1280
1991/7/20,1330
1991/8/21,749
1991/9/6,780
1991/10/24,729
1991/11/9,911
1992/5/19,1110
1992/6/4,1180
1992/8/23,1280
1992/10/10,828
1993/1/30,610
1993/5/22,1090
1993/6/7,1040
1993/7/9,1470
1993/8/26,1480
1993/9/27,987
1993/10/13,1240
1993/12/16,603
1994/2/2,601
1994/6/10,1050
1994/7/28,1550
1994/8/29,1140
1994/11/1,899
1994/11/17,869
1994/12/19,718
1995/1/4,719
1995/3/9,531
1995/3/25,499
1995/5/28,861
1995/6/29,966
1995/11/4,946
1995/11/20,768
1995/12/6,719
1996/2/8,350
1996/4/28,793
1996/7/17,908
1996/8/2,958
1996/11/22,410
1997/2/10,326
1997/3/30,339
1997/4/15,457
1997/6/2,929
1997/7/20,673
1997/9/6,591
1997/9/22,766
1997/10/8,645
