,q_day
1988/2/7,136
1988/4/27,339
1988/9/18,1090
1988/11/21,462
1989/1/8,191
1989/1/24,141
1989/5/16,848
1989/7/19,2040
1989/9/21,1970
1989/10/23,1010
1989/11/8,754
1989/11/24,475
1989/12/26,270
1990/1/27,258
1990/2/12,242
1990/3/16,251
1990/6/4,812
1990/6/20,657
1990/7/6,766
1990/11/27,322
1990/12/13,217
1991/3/3,150
1991/6/23,684
1991/8/10,886
1991/9/11,638
1992/6/9,622
1992/8/28,836
1992/10/15,1050
1992/11/16,311
1992/12/2,228
1993/1/19,171
1993/5/27,673
1993/6/28,1330
1993/8/15,1480
1993/11/3,606
1993/12/5,255
1994/2/7,164
1994/4/28,683
1994/8/2,717
1994/10/21,521
1994/11/6,402
1994/11/22,292
1995/2/26,124
1995/5/17,608
1995/8/5,953
1995/8/21,1190
1995/9/22,1260
1995/10/8,720
1995/11/9,488
1996/2/29,158
1996/5/3,472
1996/6/4,720
1996/6/20,678
1996/7/22,492
1996/8/23,570
1996/10/26,515
1996/11/11,400
1996/11/27,273
1996/12/13,167
1996/12/29,156
1997/1/14,133
1997/3/3,124
1997/3/19,275
1997/4/4,245
1997/5/6,544
1997/6/23,906
1997/8/10,541
1997/8/26,613
1997/10/29,441
1997/11/14,318
