,q_day
1988/8/10,348
1988/11/14,543
1988/11/30,330
1989/6/10,1370
1989/11/1,881
1990/3/9,205
1990/4/26,378
1990/5/12,656
1990/10/19,849
1990/11/20,317
1991/7/18,612
1991/8/19,1310
1991/9/4,631
1991/10/6,593
1991/11/7,418
1992/8/5,1090
1992/9/6,581
1992/11/9,481
1993/10/11,732
1993/10/27,639
1993/11/12,434
1994/8/27,506
1994/10/14,533
1995/12/4,210
1996/6/29,528
1996/8/7,786
1996/8/16,526
1996/9/24,577
1996/10/3,513
1996/10/19,582
1996/11/11,327
1996/11/27,195
1997/4/4,227
1997/5/6,427
1997/5/31,760
1997/6/23,748
1997/7/18,752
1997/8/26,476
1997/9/20,406
1997/10/22,444
1997/11/7,305
1997/11/14,258
1997/11/23,207
