,q_day
1988/1/31,313.0
1988/5/15,476.0
1988/5/31,306.0
1988/9/4,653.0
1988/11/7,591.0
1988/12/9,413.0
1989/1/26,722.0
1989/2/11,290.0
1989/3/22,445.0
1989/4/16,513.0
1989/5/2,403.0
1989/6/3,716.0
1989/10/25,502.0
1989/11/26,451.0
1990/2/14,557.0
1990/3/18,617.0
1990/7/8,524.0
1990/10/12,586.0
1991/1/16,577.0
1991/4/6,423.0
1991/4/22,572.0
1991/5/8,729.0
1991/6/25,822.0
1991/7/11,846.0
1991/9/13,567.0
1991/9/29,361.0
1991/10/31,561.0
1992/1/3,436.0
1992/1/19,872.0
1992/2/20,286.0
1992/5/26,848.0
1992/7/29,938.0
1992/8/14,754.0
1993/5/29,569.0
1993/6/14,737.0
1993/6/30,709.0
1993/7/16,673.0
1993/8/1,820.0
1993/9/2,767.0
1993/11/21,687.0
1993/12/7,598.0
1993/12/23,605.0
1994/1/8,674.0
1994/4/30,699.0
1994/6/1,1070.0
1994/7/3,518.0
1994/7/19,565.0
1994/8/4,1120.0
1994/10/23,513.0
1994/11/8,776.0
1995/6/4,730.0
1995/6/20,764.0
1995/9/24,701.0
1995/10/26,416.0
1995/11/11,569.0
1995/11/27,320.0
1995/12/29,651.0
1996/6/29,733.0
1996/8/16,714.0
1996/9/26,348.0
1996/10/3,246.0
1996/10/28,349.0
1996/11/13,381.0
1996/11/29,501.0
1996/12/6,710.0
1996/12/22,399.0
1997/2/8,479.0
1997/2/17,306.0
1997/4/29,206.0
1997/5/31,579.0
1997/8/3,816.0
1997/8/12,109.0
1997/8/19,236.0
1997/8/28,322.0
1997/10/22,574.0
1997/10/31,628.0
1997/11/7,600.0
1997/11/23,605.0
1997/12/18,392.0
