,q_day
1988/5/15,984
1988/5/31,856
1988/9/4,441
1988/11/7,609
1988/12/9,720
1989/1/26,555
1989/2/11,491
1989/4/16,844
1989/5/2,892
1989/6/3,906
1989/10/25,1100
1990/3/18,605
1990/7/8,937
1990/10/12,950
1990/12/15,696
1991/1/16,586
1991/3/21,406
1991/4/22,680
1991/5/8,1160
1991/6/25,918
1991/7/11,1110
1991/9/13,676
1991/9/29,524
1991/10/31,829
1991/12/2,621
1992/2/20,551
1992/5/26,869
1992/7/29,682
1992/8/14,723
1992/10/17,844
1993/5/29,933
1993/6/14,799
1993/6/30,1020
1993/7/16,1040
1993/8/1,1000
1993/9/2,912
1993/11/21,754
1994/1/8,572
1994/4/14,840
1994/4/30,988
1994/7/3,731
1994/7/19,1020
1994/8/4,1040
1994/9/5,842
1994/10/23,837
1994/11/8,1000
1995/1/11,550
1995/6/4,814
1995/6/20,816
1995/8/7,785
1995/9/24,468
1995/10/26,699
1995/11/27,682
1996/2/15,401
1996/6/6,778
1996/9/26,599
1996/10/28,694
1996/11/13,702
1996/11/29,419
1997/1/16,414
1997/2/17,329
1997/7/27,916
1997/8/12,653
1997/8/28,842
1997/10/15,671
1997/10/31,778
1997/11/16,755
1997/12/18,412
