,q_day
1988/4/12,974.0
1988/4/28,922.0
1988/5/14,976.0
1988/9/19,1270.0
1988/10/5,951.0
1988/11/6,825.0
1989/5/1,1340.0
1989/5/17,1020.0
1989/6/2,892.0
1989/6/18,1410.0
1989/8/21,5060.0
1989/9/6,3110.0
1989/9/22,2770.0
1989/10/8,1480.0
1989/10/24,737.0
1990/5/4,1880.0
1990/6/5,926.0
1990/6/21,1030.0
1990/7/7,1320.0
1990/8/24,1870.0
1991/6/8,2110.0
1991/8/11,480.0
1991/9/12,623.0
1992/4/23,669.0
1992/6/10,313.0
1992/7/28,1410.0
1992/10/16,943.0
1993/9/1,1960.0
1993/10/19,898.0
1994/7/2,1370.0
1994/8/3,856.0
1994/8/19,1790.0
1994/10/22,469.0
1995/6/19,160.0
1995/9/23,1610.0
1995/10/25,568.0
1996/5/4,704.0
1996/5/20,519.0
1996/8/8,3480.0
1996/10/27,647.0
1997/4/5,882.0
1997/5/23,337.0
1997/8/27,1020.0
1997/9/28,625.0
