,q_day
1988/1/31,334.0
1988/5/22,437.0
1988/6/23,528.0
1988/8/10,720.0
1988/10/29,608.0
1988/11/14,455.0
1988/11/30,472.0
1989/2/2,403.0
1989/3/22,317.0
1989/4/23,419.0
1989/9/30,723.0
1989/11/1,479.0
1989/11/17,440.0
1989/12/19,538.0
1990/1/4,630.0
1990/1/20,698.0
1990/2/5,756.0
1990/3/9,646.0
1990/4/26,526.0
1990/8/16,614.0
1990/10/19,626.0
1990/11/20,544.0
1990/12/6,796.0
1991/1/7,641.0
1991/6/16,714.0
1991/7/18,754.0
1991/8/19,964.0
1991/9/4,784.0
1991/9/20,644.0
1991/10/6,501.0
1991/11/7,769.0
1991/11/23,665.0
1991/12/25,365.0
1992/1/10,846.0
1992/1/26,624.0
1992/6/2,469.0
1992/7/20,490.0
1992/8/5,697.0
1992/9/6,483.0
1992/11/9,401.0
1992/12/11,625.0
1992/12/27,554.0
1993/2/13,647.0
1993/5/4,684.0
1993/9/25,667.0
1993/11/12,591.0
1993/11/28,550.0
1993/12/30,423.0
1994/1/15,518.0
1994/3/4,941.0
1994/4/21,516.0
1994/5/7,888.0
1994/5/23,962.0
1994/8/27,639.0
1994/9/28,446.0
1994/12/17,745.0
1995/1/2,861.0
1995/5/10,563.0
1995/6/11,736.0
1995/6/27,926.0
1996/2/22,190.0
1996/6/29,724.0
1996/8/16,775.0
1996/10/19,595.0
1996/12/6,704.0
1996/12/22,321.0
1997/5/31,340.0
1997/7/18,448.0
1997/8/3,921.0
1997/8/19,265.0
1997/11/7,483.0
1997/11/23,437.0
1997/12/9,428.0
1997/12/25,494.0
